hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
ID,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012
49,8245,1964.478738,2917.359317,4092.2219,5099.029177,5099.029177,6563.845169,8920.870432,8863.477644,12253.42116,8176.692991,8176.692991,7640.735975,7892.376052,9482.404925,11115.2169,11464.00737,13226.11238,13588.78634,8477.316244,7551.882387,5647.850592,7742.421696,8790.629614,6719.349982,8385.454871,8324.693352,10322.22148,3757.514105,1547.366005,2384.39491,2408.793106,1734.349522,2068.918966,1991.461934,1983.837434,3095.892236,2524.556791,1913.901094,2538.390736,2171.942421,2628.877926,1836.633494,12149.84916,2861.249224,1887.988504,1753.31272,6610.417107,1743.476784,4797.741505,1622.952101,2403.696228,1944.361909,2148.809847,1584.061883,1342.079804,1211.869646,1384.616992,9337.374937,1368.404729,7869.115543,2903.306491,2061.553083,1402.899441,1237.261956,1161.144515,1310.56961,1361.875072
691,5473,1964.478738,1824.494413,1710.858611,1740.330735,1740.330735,3183.466403,2242.752655,2020.440202,2633.102734,7684.945243,7684.945243,2324.931796,3916.119913,4006.429246,4873.241578,5445.712112,4905.476249,4416.514275,5226.256143,5720.185681,5804.411538,5844.009758,5958.49865,4939.509253,6085.069443,6427.629133,6383.658724,8376.794484,6246.346712,6809.654241,8716.509335,9010.265226,9183.803638,10208.89985,9459.464676,9508.203266,10746.90073,11947.64759,12018.64336,12069.93133,11048.92006,9699.670219,9607.80711,9545.601634,10578.05178,9944.383487,10080.96461,10041.96145,10537.14084,10490.72471,10728.04378,10813.84759,10724.05689,9079.619194,10552.22664,9338.321726,9345.531303,9409.281158,11560.9447,11192.19888,11382.28173,11649.84856,11825.46144,11578.62886,11593.17194,12869.59674,11987.00276
1268,25595,1964.478738,2917.359317,4092.2219,5099.029177,5099.029177,5876.890973,9006.864173,10054.61566,12253.42116,14878.47388,14878.47388,17446.07984,17895.78228,17905.48098,15553.60157,18018.56503,17220.83876,16647.82133,15114.23617,14984.31499,14868.77241,12974.65867,15687.6721,12344.31693,12480.87907,12430.02885,12419.10924,12260.26133,13154.75028,13124.53009,13411.20336,13191.30283,13818.97265,11161.0192,11526.03949,11459.78211,11620.95397,11947.64759,12018.64336,12251.58767,12171.31132,12360.658,12476.5086,10682.54634,10705.46569,9944.383487,10080.96461,10164.99861,13320.75677,10126.79029,8866.380856,8329.549824,8113.426648,8210.826585,8278.695418,7327.496836,9027.391455,8828.76964,9501.447153,8815.664199,11024.6245,11366.83268,9009.903607,8728.09338,9862.845402,9098.4181,9214.98747
2549,1405,1453.964033,1755.305612,1531.335503,1740.330735,1740.330735,1695.789014,962.5790366,1263.724233,1367.35183,1685.19995,1685.19995,1041.688446,1182.347411,1910.046921,2199.042488,1933.24549,2028.858875,2339.045914,2595.632825,3304.924385,3294.337382,4473.373877,7623.763693,5993.681581,5057.464053,4484.398018,8286.633407,6266.056123,2839.117432,5153.41111,8814.472996,5602.162957,6554.116269,6030.526777,5603.532406,5522.032547,7051.521475,8610.438808,9898.810578,9913.266388,11048.92006,4149.775357,4169.021158,4266.880717,4233.559108,4514.308684,4578.021849,4666.070705,4653.596246,4577.778938,4791.21946,4894.300943,3925.127837,4528.278268,4920.921664,4509.630756,5001.654228,5040.907435,6184.382901,8368.293697,8685.06897,8902.923804,9009.903607,6648.32167,6624.261695,6706.202857,6446.261856
4264,417,492.657533,514.2134169,523.4652978,432.1029184,432.1029184,409.4315216,2017.113707,1839.740799,2615.257055,2947.557645,2947.557645,3509.967675,3801.823923,3445.977012,3792.137704,4859.258956,5502.807541,5569.525865,5749.949812,5582.704573,5647.850592,5746.623297,8641.658995,7411.694529,7637.360995,8324.693352,8509.496045,8110.210325,7484.137168,7610.053036,8716.509335,7403.62334,8475.506981,7034.99509,7882.22886,9131.292702,9158.147408,9692.899323,10038.50271,9913.266388,9659.711932,10021.71252,8906.150595,8013.153626,1887.988504,1753.31272,1219.655576,1446.818501,1298.976448,1230.80018,1414.892736,1425.706238,1516.396483,1591.327333,2014.161826,1974.767679,1274.698471,1164.648272,1231.669357,1074.353724,1054.443991,756.7109285,1101.105673,2006.974334,1834.290186,1202.456891,924.1235283
5221,2450,1964.478738,1755.305612,1710.858611,1740.330735,1740.330735,2083.943655,3111.549328,2582.973079,2635.678316,3281.236707,3281.236707,3523.732813,3801.823923,4179.553058,3728.888847,4307.398357,4251.514716,4341.096769,4524.596575,4101.251858,4177.728896,4735.471108,4916.059209,4458.99274,4898.329982,5070.328935,5057.967726,6220.310428,6246.346712,6055.958606,6408.628817,6429.769903,7775.305609,6705.695901,7192.966982,7353.403235,9158.147408,9367.319731,8310.276191,9913.266388,9659.711932,10092.30332,10389.72878,10331.50293,12475.65282,13183.5905,13192.0436,13372.43456,15654.85254,15946.35528,16834.97023,17897.30378,19877.4195,21528.71131,21494.45412,21327.7015,23206.4432,24027.72046,24278.37784,24683.24856,25570.9641,24802.70145,21189.40126,21393.7832,21455.83648,21682.10592,20440.97707
5945,177,304.3167019,145.7621605,172.6807533,173.5172555,173.5172555,182.8958683,269.6323687,305.4771632,286.2960281,290.6208137,290.6208137,246.0508344,1224.642638,1202.401101,1278.192214,1454.022682,1127.266546,1248.023991,2069.722643,1390.071997,1369.636208,1973.039159,2126.074379,2488.549833,2270.594858,2604.424421,2939.304599,2950.172203,2938.416413,2977.070689,2883.221586,2445.758905,3037.001282,3385.288511,5050.285456,5566.305773,3722.762,3963.486578,4144.164538,5314.24167,5846.821667,6527.489076,6628.384394,6599.844473,7560.848099,7644.860791,8111.163383,8334.701718,8827.643021,8091.36092,8682.516653,8935.808299,10724.05689,9079.619194,10552.22664,8408.141205,10669.24402,8613.5773,10753.64019,12090.25133,12734.32091,14353.08641,14519.39538,12616.86897,14950.80042,15144.71625,15142.46422
6130,2034,533.9268517,1814.976648,2193.5688,2095.028931,2095.028931,2283.021879,2208.767958,2582.973079,3598.829133,4477.649733,4477.649733,4564.324492,4013.32589,4025.913813,3724.650489,4207.069362,4251.514716,4341.096769,4524.596575,4593.907092,5647.850592,5746.623297,5962.928035,4939.509253,6085.069443,5136.647094,5198.405555,6266.056123,5853.029736,5606.108684,5782.682412,5369.692247,6508.211259,7017.444127,7534.997912,6790.135351,6853.835123,7035.90134,7022.898535,7047.483668,7262.926402,9495.835429,9607.80711,9545.601634,10578.05178,9944.383487,10080.96461,10164.99861,10912.69817,10490.72471,10728.04378,10813.84759,10901.85993,11020.89882,11048.60431,9012.890865,9345.531303,9409.281158,10753.64019,10887.319,11024.6245,11103.36499,12508.56632,12238.23817,11880.57725,11727.50529,11987.00276
7991,40,174.5878874,165.6920873,138.9974759,175.9526105,175.9526105,239.8298074,1286.002524,971.0903957,707.8576851,1070.280723,1070.280723,1271.964944,1430.471235,2136.402414,2245.354206,2910.331362,3671.989133,4260.221112,4625.937262,4619.199272,4203.478728,4245.561955,4900.293508,4939.509253,5034.497424,5720.14892,5489.874459,6279.152791,6647.087388,8517.908025,9501.114337,11156.6302,11144.48517,11161.0192,11526.03949,11459.78211,11789.24929,11947.64759,14687.24665,17596.0362,17702.96091,18736.34194,18356.69904,15459.44337,19059.96091,15515.90243,17361.3469,17530.17104,19495.62344,21129.16244,20933.20074,21096.26188,21919.47347,22945.86093,21494.45412,20283.84019,23206.4432,25374.22678,28824.79887,24683.24856,24236.538,22407.27405,24891.02013,25726.13266,29864.92653,30156.54271,27957.30972
