hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
ID,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012
49,8245,10949,16580,20929,20634,20634,21431,21610,29562,18681,17870,17870,23829,30296,33722,37149,47056,43182,29226,16416,13933,17074,18883,14553,17229,17934,22872,4751,1593,2171,2218,1205,1815,1677,1675,3329,2432,1851,2128,1845,2038,1221,23244,2421,669,9779,736,5710,637,2008,1008,708,789,401,519,624,14221,470,10490,1814,735,545,471,387,509,482,453
691,5473,3029,2972,3920,9707,9707,4376,3618,4842,29444,5134,5134,8827,8775,10816,12422,9721,8854,11175,12142,10949,10785,10100,9465,10471,12952,13768,18194,12154,13770,16308,16439,22300,23076,21091,16178,23088,27286,28460,25455,22450,16209,16346,16364,18795,16730,16028,18278,16555,16658,16705,15334,15210,15536,14020,14480,15131,17804,16969,16800,17437,17952,16330,17398,18929,18072,15256
1268,25595,30895,36437,38087,43860,43860,60334,64330,80911,91557,89338,89338,87120,86064,72364,71853,64168,60079,57343,54269,51034,39247,43683,35648,37411,34842,33276,33943,32640,36832,36994,33158,33656,25767,26864,23706,24623,26478,28159,26267,23967,25644,23135,20872,18621,17546,18011,25096,15368,15099,12566,10916,11497,10266,9788,13355,13254,15185,13314,15391,16294,13034,11235,13572,12168,12367,11201
2549,1405,2055,2399,2705,2669,2669,1916,1560,1806,1793,1763,1763,1800,2090,2772,2237,2121,2858,3625,4253,4877,9365,14968,11212,9708,6390,17436,10960,3185,9550,17628,8815,10989,9106,8638,7386,12017,15777,20055,21139,22223,4696,3922,4332,4934,5239,5215,4556,4444,5554,5217,3787,4274,5078,4058,5589,5033,6363,10349,11403,12516,12553,6491,6699,6909,5917,4369
4264,417,569,644,370,328,328,3687,3779,4894,5985,6316,6316,6404,5440,6852,11916,13099,13890,12142,10468,12002,13904,16203,15421,15993,17221,17290,15641,15388,14887,16656,14213,15875,13204,15383,16555,18280,20005,20059,19706,16722,18794,15687,13089,685,504,754,636,472,730,651,776,799,1179,739,483,378,435,347,340,287,343,1024,450,358,208,395
5221,2450,2712,3025,2907,3513,3513,6088,5510,5078,5579,6367,6367,6353,8084,6300,7922,8484,8405,9019,6319,6598,7768,9140,6547,7734,7765,7532,10452,10417,10106,11821,10689,15246,12604,12936,13325,16447,17456,15415,18918,17988,21668,20673,20573,25743,29169,29042,34072,31837,36632,39783,45488,49853,51914,50434,58672,61445,59694,57943,64044,57616,48252,46393,45979,46024,39508,35780
5945,177,65,83,56,54,54,69,120,123,98,103,103,1079,908,1035,739,833,715,1819,1192,952,1639,2275,2651,2208,2702,3485,3529,2905,2957,2774,2471,3716,5109,6982,8855,3966,4396,5132,6992,8170,9766,10007,9647,12287,13270,13345,14161,12347,13429,14398,15341,15202,15795,12852,15502,12395,15989,21036,21875,23802,25187,20766,27091,25855,24135,25252
6130,2034,3380,4021,4225,5589,5589,4829,4519,7052,9861,8916,8916,8599,7748,6276,7075,7988,8783,8442,8389,10686,10733,10859,9240,12016,9631,9406,10397,9767,9733,9504,7801,10271,13522,13740,11919,11412,11991,11876,11907,12333,16225,16558,16266,17592,17589,17586,19000,16905,18067,16699,16351,17408,16215,13489,14278,14544,15587,15440,15732,15433,19623,19039,18481,17000,18924,17485
7991,40,8,58,84,152,152,1319,842,567,968,1281,1281,1809,3158,3425,4395,5779,7241,9993,8859,6742,6595,7466,7598,9489,10011,9730,12368,13666,16417,21256,25560,25646,27230,29107,24879,26999,30105,36572,38959,40972,47885,44375,35386,34718,40881,41073,46489,50215,51395,50919,54513,56784,51945,46902,58872,65506,73870,63422,55334,52381,56838,62431,74998,74247,73496,77908
